Duration_Days,Frequency,Cumulative_Probability
99.3,1,0.0289
99.3,1,0.0290
99.3,1,0.0291
99.3,1,0.0292
99.3,1,0.0293
99.3,1,0.0294
99.3,1,0.0295
99.3,1,0.0296
99.3,1,0.0297
99.3,1,0.0298
99.3,1,0.0299
99.3,1,0.0300
99.4,1,0.0301
99.4,1,0.0302
99.4,1,0.0303
99.4,1,0.0304
99.4,1,0.0305
99.4,1,0.0306
99.4,1,0.0307
99.4,1,0.0308
99.4,1,0.0309
99.4,1,0.0310
99.5,1,0.0311
99.5,1,0.0312
99.5,1,0.0313
99.5,1,0.0314
99.5,1,0.0315
99.5,1,0.0316
99.5,1,0.0317
99.5,1,0.0318
99.5,1,0.0319
99.5,1,0.0320
99.5,1,0.0321
99.5,1,0.0322
99.5,1,0.0323
99.6,1,0.0324
99.6,1,0.0325
99.6,1,0.0326
99.6,1,0.0327
99.6,1,0.0328
99.6,1,0.0329
99.6,1,0.0330
99.6,1,0.0331
99.6,1,0.0332
99.6,1,0.0333
99.6,1,0.0334
99.6,1,0.0335
99.6,1,0.0336
99.6,1,0.0337
99.6,1,0.0338
99.6,1,0.0339
99.6,1,0.0340
99.7,1,0.0341
99.7,1,0.0342
99.7,1,0.0343
99.7,1,0.0344
99.7,1,0.0345
99.7,1,0.0346
99.7,1,0.0347
99.7,1,0.0348
99.7,1,0.0349
99.7,1,0.0350
99.7,1,0.0351
99.7,1,0.0352
99.7,1,0.0353
99.7,1,0.0354
99.7,1,0.0355
99.7,1,0.0356
99.7,1,0.0357
99.7,1,0.0358
99.7,1,0.0359
99.7,1,0.0360
99.7,1,0.0361
99.7,1,0.0362
99.7,1,0.0363
99.7,1,0.0364
99.7,1,0.0365
99.7,1,0.0366
99.8,1,0.0367
99.8,1,0.0368
99.8,1,0.0369
99.8,1,0.0370
99.8,1,0.0371
99.8,1,0.0372
99.8,1,0.0373
99.8,1,0.0374
99.8,1,0.0375
99.8,1,0.0376
99.8,1,0.0377
99.8,1,0.0378
99.8,1,0.0379
99.8,1,0.0380
99.8,1,0.0381
99.8,1,0.0382
99.8,1,0.0383
99.8,1,0.0384
99.8,1,0.0385
99.8,1,0.0386
99.8,1,0.0387
99.8,1,0.0388
99.8,1,0.0389
99.9,1,0.0390
99.9,1,0.0391
99.9,1,0.0392
99.9,1,0.0393
99.9,1,0.0394
99.9,1,0.0395
99.9,1,0.0396
99.9,1,0.0397
99.9,1,0.0398
99.9,1,0.0399
99.9,1,0.0400
99.9,1,0.0401
99.9,1,0.0402
99.9,1,0.0403
99.9,1,0.0404
99.9,1,0.0405
99.9,1,0.0406
99.9,1,0.0407
99.9,1,0.0408
99.9,1,0.0409
99.9,1,0.0410
99.9,1,0.0411
99.9,1,0.0412
99.9,1,0.0413
99.9,1,0.0414
100.0,1,0.0415
100.0,1,0.0416
100.0,1,0.0417
100.0,1,0.0418
100.0,1,0.0419
100.0,1,0.0420
100.0,1,0.0421
100.0,1,0.0422
100.0,1,0.0423
100.0,1,0.0424
100.0,1,0.0425
100.0,1,0.0426
100.0,1,0.0427
100.0,1,0.0428
100.0,1,0.0429
100.0,1,0.0430
100.0,1,0.0431
100.0,1,0.0432
100.0,1,0.0433
100.1,1,0.0434
100.1,1,0.0435
100.1,1,0.0436
100.1,1,0.0437
100.1,1,0.0438
100.1,1,0.0439
100.1,1,0.0440
100.1,1,0.0441
100.1,1,0.0442
100.1,1,0.0443
100.1,1,0.0444
100.1,1,0.0445
100.1,1,0.0446
100.1,1,0.0447
100.1,1,0.0448
100.1,1,0.0449
100.1,1,0.0450
100.1,1,0.0451
100.1,1,0.0452
100.1,1,0.0453
100.1,1,0.0454
100.1,1,0.0455
100.1,1,0.0456
100.1,1,0.0457
100.1,1,0.0458
100.1,1,0.0459
100.1,1,0.0460
100.1,1,0.0461
100.1,1,0.0462
100.1,1,0.0463
100.2,1,0.0464
100.2,1,0.0465
100.2,1,0.0466
100.2,1,0.0467
100.2,1,0.0468
100.2,1,0.0469
100.2,1,0.0470
100.2,1,0.0471
100.2,1,0.0472
100.2,1,0.0473
100.2,1,0.0474
100.2,1,0.0475
100.2,1,0.0476
100.2,1,0.0477
100.2,1,0.0478
100.2,1,0.0479
100.2,1,0.0480
100.2,1,0.0481
100.2,1,0.0482
100.2,1,0.0483
100.2,1,0.0484
100.2,1,0.0485
100.2,1,0.0486
100.2,1,0.0487
100.2,1,0.0488
100.2,1,0.0489
100.2,1,0.0490
100.2,1,0.0491
100.2,1,0.0492
100.3,1,0.0493
100.3,1,0.0494
100.3,1,0.0495
100.3,1,0.0496
100.3,1,0.0497
100.3,1,0.0498
100.3,1,0.0499
100.3,1,0.0500
100.3,1,0.0501
100.3,1,0.0502
100.3,1,0.0503
100.3,1,0.0504
100.3,1,0.0505
100.3,1,0.0506
100.3,1,0.0507
100.3,1,0.0508
100.3,1,0.0509
100.3,1,0.0510
100.3,1,0.0511
100.3,1,0.0512
100.3,1,0.0513
100.3,1,0.0514
100.3,1,0.0515
100.3,1,0.0516
100.3,1,0.0517
100.3,1,0.0518
100.3,1,0.0519
100.4,1,0.0520
100.4,1,0.0521
100.4,1,0.0522
100.4,1,0.0523
100.4,1,0.0524
100.4,1,0.0525
100.4,1,0.0526
100.4,1,0.0527
100.4,1,0.0528
100.4,1,0.0529
100.4,1,0.0530
100.4,1,0.0531
100.4,1,0.0532
100.4,1,0.0533
100.4,1,0.0534
100.4,1,0.0535
100.4,1,0.0536
100.4,1,0.0537
100.4,1,0.0538
100.4,1,0.0539
100.4,1,0.0540
100.5,1,0.0541
100.5,1,0.0542
100.5,1,0.0543
100.5,1,0.0544
100.5,1,0.0545
100.5,1,0.0546
100.5,1,0.0547
100.5,1,0.0548
100.5,1,0.0549
100.5,1,0.0550
100.5,1,0.0551
100.5,1,0.0552
100.5,1,0.0553
100.5,1,0.0554
100.5,1,0.0555
100.5,1,0.0556
100.5,1,0.0557
100.5,1,0.0558
100.5,1,0.0559
100.5,1,0.0560
100.5,1,0.0561
100.5,1,0.0562
100.5,1,0.0563
100.5,1,0.0564
100.5,1,0.0565
100.5,1,0.0566
100.5,1,0.0567
100.5,1,0.0568
100.5,1,0.0569
100.6,1,0.0570
100.6,1,0.0571
100.6,1,0.0572
100.6,1,0.0573
100.6,1,0.0574
100.6,1,0.0575
100.6,1,0.0576
100.6,1,0.0577
100.6,1,0.0578
100.6,1,0.0579
100.6,1,0.0580
100.6,1,0.0581
100.6,1,0.0582
100.6,1,0.0583
100.6,1,0.0584
100.6,1,0.0585
100.6,1,0.0586
100.6,1,0.0587
100.6,1,0.0588
100.6,1,0.0589
100.6,1,0.0590
100.6,1,0.0591
100.6,1,0.0592
100.6,1,0.0593
100.6,1,0.0594
100.6,1,0.0595
100.6,1,0.0596
100.6,1,0.0597
100.6,1,0.0598
100.7,1,0.0599
100.7,1,0.0600
100.7,1,0.0601
100.7,1,0.0602
100.7,1,0.0603
100.7,1,0.0604
100.7,1,0.0605
100.7,1,0.0606
100.7,1,0.0607
100.7,1,0.0608
100.7,1,0.0609
100.7,1,0.0610
100.7,1,0.0611
100.7,1,0.0612
100.7,1,0.0613
100.7,1,0.0614
100.7,1,0.0615
100.7,1,0.0616
100.7,1,0.0617
100.7,1,0.0618
100.7,1,0.0619
100.7,1,0.0620
100.7,1,0.0621
100.7,1,0.0622
100.7,1,0.0623
100.7,1,0.0624
100.7,1,0.0625
100.7,1,0.0626
100.7,1,0.0627
100.7,1,0.0628
100.7,1,0.0629
100.7,1,0.0630
100.7,1,0.0631
100.7,1,0.0632
100.7,1,0.0633
100.7,1,0.0634
100.7,1,0.0635
100.7,1,0.0636
100.7,1,0.0637
100.7,1,0.0638
100.8,1,0.0639
100.8,1,0.0640
100.8,1,0.0641
100.8,1,0.0642
100.8,1,0.0643
100.8,1,0.0644
100.8,1,0.0645
100.8,1,0.0646
100.8,1,0.0647
100.8,1,0.0648
100.8,1,0.0649
100.8,1,0.0650
100.8,1,0.0651
100.8,1,0.0652
100.8,1,0.0653
100.8,1,0.0654
100.8,1,0.0655
100.8,1,0.0656
100.8,1,0.0657
100.8,1,0.0658
100.8,1,0.0659
100.8,1,0.0660
100.8,1,0.0661
100.8,1,0.0662
100.8,1,0.0663
100.8,1,0.0664
100.8,1,0.0665
100.8,1,0.0666
100.8,1,0.0667
100.8,1,0.0668
100.8,1,0.0669
100.8,1,0.0670
100.8,1,0.0671
100.8,1,0.0672
100.8,1,0.0673
100.8,1,0.0674
100.8,1,0.0675
100.8,1,0.0676
100.8,1,0.0677
100.8,1,0.0678
100.8,1,0.0679
100.9,1,0.0680
100.9,1,0.0681
100.9,1,0.0682
100.9,1,0.0683
100.9,1,0.0684
100.9,1,0.0685
100.9,1,0.0686
100.9,1,0.0687
100.9,1,0.0688
100.9,1,0.0689
100.9,1,0.0690
100.9,1,0.0691
100.9,1,0.0692
100.9,1,0.0693
100.9,1,0.0694
100.9,1,0.0695
100.9,1,0.0696
100.9,1,0.0697
100.9,1,0.0698
100.9,1,0.0699
100.9,1,0.0700
100.9,1,0.0701
100.9,1,0.0702
